gene	capillary.endothelial.cell	CD4.positive..alpha.beta.T.cell	CD8.positive..alpha.beta.T.cell	endothelial.cell	endothelial.cell.of.artery	fibroblast	macrophage	mast.cell	natural.killer.cell	neutrophil	pericyte	smooth.muscle.cell	vein.endothelial.cell
ABCC3	0	0	0	0.971303614850382	0	32.2724485726957	49.7820341480866	0	0	0	5.59977397974924	9.64294087356173	0
ABCC4	65.9069950104817	0	0	0.803773004639301	24.2264471668074	0	0	0	0	0	0	0	1.38133070108643
ABCC5	0.182091905994852	0	59.4800724909026	18.414803586751	0	69.9383792825819	95.5150697530786	0.102561756544514	0	0	2.26536705258507	0	0
ABCC6	0	0	0	0.0307288572352878	0	0.0297409893072326	2.42959888886732	0	0	0	0	0	0
ABCC8	0	0	0	0.0253568522325272	0	5.54825902428119	15.2662973992563	0.247932947547912	0	0	0	0	0
ABCC9	0	1.07156747226528	0.16737803929824	0.466620390983666	0	157.155529593213	0.111597283798079	0	0.603424755594516	0	115.093429725889	3.78245887210893	0.346289573601494
ABCD1	51.2958887421642	0	0	0	0	4.07804080658191	4.07398147865228	0	0	0	0	13.8613061387018	0
ABCD2	0	0	25.1466251490717	0.016208211814602	0	3.66002269290414	0	0	0	0	0	0	0
ABCD3	0	0	28.045425878577	0.0323937620782844	0.179682404679944	51.7014398810667	25.0071619071054	0	0	0	41.0726425598015	10.1842219758088	237.524157761933
ABCD4	227.843520101714	64.8218461012261	167.542129781044	116.977077288568	277.572668640308	98.6507487955422	81.2716194747814	202.941001153337	0	0	47.7566066056675	0	854.485433401811
ABCE1	0.191163673922196	0.117692070452956	0	36.4005252955797	0	63.9457409753228	50.7400004244275	179.133385598528	0.735885420288955	0	11.9003757388897	29.510127565645	0
ABCF1	0	208.291031826983	24.4589931794866	178.441814150734	4.87674493030122	115.16507869253	113.337053316896	198.367036716449	0	0	186.448491739115	360.302104590508	229.968170362915
ABCF2	115.909065246665	46.440920706053	0	19.6586194245405	0	83.1366663125314	0	0	0	0	49.6787334562598	56.4770828974781	0
ABCF3	0	27.1636009044396	0	68.5234544303546	0	65.7787502636217	2.2765175871974	0	0	0	28.8726518376282	0	228.947162781458
ABCG1	74.7759176987481	90.5184360327141	58.1928461692549	162.348495026403	0	20.4168421804194	30.0914401536117	5.36064104330168	0	232.171766532912	0.0185978781121025	0.0366796393544084	0
ABCG2	148.386626776401	0	0	104.01626021369	0	0	0	0	0	0	0	0	356.361770317217
ABHD1	0	0	0	7.10118042690397	0	4.34134794015096	0	0	0.603424755594516	0	15.7130012933245	0	0
ABHD10	0	0	91.7589640990928	24.7391141111427	8.35228973756612	11.1582359257697	0	0	0	0	20.1447042706788	0	0
ABHD11	0	74.5921210723411	0	13.0546603002212	0	30.2586153619712	0.401134672734262	0	0	0	41.2305066514419	43.3316226810936	0
ABHD12	0	1.02848688598175	114.562603117437	28.0796121137576	0	53.5553557463637	153.934888883621	0	0	0	31.6811405389447	0.211722150331416	0
ABHD12B	0	0	0	0	0	4.52164808387111	8.88316939035777	0	0	0	0	0	0
ABHD13	0	43.3675918156155	0	16.4922321590132	0	70.947388857533	71.2067809498013	0	0	0	0	0	0
ABHD14A	0	0	31.7110627324606	54.0858171834668	0	65.980888124385	0	0	163.661168811823	0	38.1671870013178	0	136.70965459788
ABHD14B	0	0.322388271739063	161.218245288794	10.6479701159526	0	195.64068097629	25.5491081466008	0	0	0	47.6448577831149	79.7458270601956	65.9034697108971
ABHD15	0	69.2803291908582	4.04614892116478	0	0	51.4631907917671	54.1031027340317	0	0	0	0.017515885527521	14.597909056831	0
ABHD16A	15.0101432691275	0	0.87222357425203	1.85972832003152	0.261465942224449	4.97393385283786	13.1405389885045	2.3703507020794	0	0	6.89504727093881	14.1676792152141	50.0251417252015
ABHD2	0.182091905994852	0	244.858149583938	27.2253471566664	128.74536735688	22.4914506614667	115.999127212237	266.699416645413	0	0	9.53385147166751	116.938627397149	0
ABHD3	0	212.368230481456	222.270953035334	40.6961494930317	0	56.7124505612597	51.5846072346834	0	0	0	17.4752202737123	46.7429783522014	0
ABHD4	156.406434256249	0.0969558728354583	0	67.097729316004	247.355979468658	99.8660609094335	2.55907018754241	158.567892623396	0	0	127.518106419633	112.664227433908	0
ABHD5	206.25610599717	161.256479427029	0.124916071551221	90.157602444656	0	85.4743338337612	208.237777280457	0.102561756544514	0	1131.57937151526	86.10440402156	81.1189269843858	2.410672551477
ABHD6	0	0	8.73064620003929	40.5428586675579	0	8.96269586996115	16.9265732760346	0	0	0	53.7627263105162	0	0
ABHD8	0	0	0	0	12.6053202666916	0.963328034087991	89.4328431881492	0	0	0	15.514494979719	0	0
ABI1	215.34879616554	373.954049156859	125.590625532438	89.8254523974188	3.35716524741803	72.6502658245253	69.1091907649623	228.114158747286	0	0	85.2458273705731	95.6889433348318	478.978601355909
ABI2	143.891513155239	0.322388271739063	52.4208528220322	104.905148404484	130.232518294941	43.1982161174778	10.5623870307425	0	0	0	56.5450662486679	167.187794486868	3.15124702283585
ABI3	184.956019678382	56.0481981760473	51.0925495156423	199.324949198118	0	13.2543026971887	181.780850455649	0	347.831049899896	0	0	0	538.070479008631
ABI3BP	0	0	0	8.30767760038207	272.695861154755	692.79195151739	3.7152915657806	2.12358391885515	0	0	10.0412785381268	42.6320993492767	0
ABL1	0	24.7267671185733	43.0879876180037	48.716324643909	0	89.541716635579	31.7148583018177	0.118356463150659	0	0	37.5443619327132	9.60026659352592	0
ABL2	109.022414274339	92.6462425605404	49.4260916125718	44.541752310184	102.441232170762	65.1400239752307	356.971306435913	139.46902161422	72.7414609235025	0	61.1508215427069	236.731014043556	0
ABLIM1	576.301305951783	100.356557544403	139.753323511412	322.560284127257	290.666401488662	348.473081242353	0	0	12.4448320302487	0	0	0	32.3294857491933
ABLIM2	0	0	60.7038208423845	6.32872762939166	0	0	0	0	0	0	51.703186304122	0	0
ABLIM3	278.83257762329	0	0	46.8518399741397	166.857378330767	6.8740355752868	57.8564695120164	0	0	0	0	81.0077685117857	0
ABO	114.499015803358	0	0	126.722452840254	0	6.11891734950331	0.372423296786872	0	0	0	10.4667455879919	0	0
ABR	5.24535771582547	0	142.44925482758	120.401873501514	161.022207097051	61.2609917076524	63.9857695545573	80.3334239352426	128.308657217417	0	37.242745019527	178.889311672604	0
ABRA	0	0	0.111127792495235	3.64717220667344	0	0	0	0	0	0	63.990149566058	0	0
ABRACL	0	280.745923949991	350.078148682498	35.018240890788	135.617414274232	15.2780211894115	108.446532865217	114.923610963967	0	0	0	0	208.492470730434
ABT1	0	107.373899310869	0.759950567307454	95.3662350020538	381.034664184323	97.2635818384788	53.4114825647826	0	0	0	117.657368650687	150.820557169093	0.691939031351994
ABTB1	189.758571786821	0	0	27.6245151103747	91.3451814808248	42.2226931282879	72.1820662285327	0	0	1699.26507442775	88.5949725992182	35.1938119371264	0
ABTB2	0	0.104773551544538	0.16737803929824	0	0	8.25192049632018	0	0	0	0	0	0	26.4603678616277
ACAA1	0	28.8194744952586	94.3088443766529	33.9241595457133	0	66.7551755080701	146.917185301163	0	0	0	21.2601149305022	53.6223311676324	0
ACAA2	39.5380637966088	82.4451025491802	61.5521078211693	69.1185581810865	96.152858337064	125.030983008111	47.3830606891873	6.94803305587195	165.720615378751	0	139.657800191137	26.5009784388205	0
ACACA	52.3087481467566	0	26.7742001709149	13.2731331154965	0	51.9915564151479	35.5006291006454	64.5979979070626	0	86.9718963888756	26.9430887445526	22.0896206927617	0
ACACB	163.224061525117	64.7763973629398	0	128.182429818498	740.362632811198	63.7656846440181	0	0	0	0	0	17.6111449159552	292.355452632762
ACAD10	0	36.8290733030942	0.323635791159601	1.22100993487375	0	13.1628687559603	7.54058836472852	0	0	0	0.492203365506865	0	0
ACAD11	0	0.0969558728354583	0	4.43689220745209	0	3.38425747945261	0	0.236510060262547	0.735885420288955	0	3.44042522282166	0.0459025282079949	0
ACAD8	0	96.6810972055635	0	5.11310344437332	0	23.655950115282	1.20234769147496	0	0	0	92.5607301665156	75.0206054842019	97.6790585044459
ACAD9	0	0	53.0506506475265	53.9720055163687	0.179682404679944	19.2330302679407	19.4374115855615	0	0	0	31.2623389321117	140.231478045432	0
ACADL	0	0	0	0	0	90.3993470132441	0	0	0	0	0.107666695520326	63.175223675798	0
ACADM	280.987955749215	119.764831076501	30.5555633710514	105.048431873468	1.04260088692696	72.9044005091481	31.3484790618369	0	0	0	103.986459071532	335.31248029636	0
ACADS	0	0	0	0	0	39.0503153228294	71.4311756845595	0	0	0	42.4179425036717	0.238018275551259	0
ACADSB	0	41.9379253532575	19.7136299174674	35.5775178245361	14.3281554765407	18.9017752563226	0.165134086234368	0	0	0	22.9962328731726	0.0534360026481781	0
ACADVL	68.4434894040975	29.479985928159	34.8398981469941	101.56897741993	289.492804045547	187.099542506307	279.578903078273	197.600876018675	0	0	129.412187182822	219.249422961894	410.160521814259
ACAN	0	0	0	0	0	0	0	0	0	0	0	231.205431798504	0
ACAP1	0	344.759490182352	346.944589997865	0	0	14.766836612165	99.9989929321207	92.3350985652637	293.65545119556	0	2.10298175826213	0	0
ACAP2	124.944522073968	142.893200646622	141.514773507898	181.981584762887	203.831610507938	132.156786703511	211.957026449665	224.305549963995	280.010666975496	86.9718963888756	164.751066697037	94.682659293787	0
ACAP3	0	6.86799510330997	0	0.416640133941142	0	8.91978371210682	10.4605840939379	0	0	0	0	22.4598474345941	0
ACAT1	346.337910322293	351.487132593594	73.6650557497824	187.869082372658	0	249.333122849191	166.071257723354	25.3562056087967	0	0	200.367561677924	289.861960030912	157.246143312148
ACAT2	168.066593319191	0	74.00638510844	64.9513604955341	0.35912127449641	50.0034890331409	31.4266978242756	0	0	0	105.485220135633	41.7638141303131	0.691939031351994
ACBD3	7.98498784932817	5.51424153319458	26.4651182532046	40.9384905476255	0.261465942224449	60.5736331556493	36.4053341469523	0	0	0	86.2233755343013	8.2594754258079	61.7416608634153
ACBD4	0	0	0	0	0	20.47425625307	1.3085561841666	0	0	0	7.36720603808974	14.8540241691495	0
ACBD5	414.139375112953	4.83827212308433	0	23.3588517814309	0	36.7326684990706	95.8737138465397	0	0	0	24.9059682219773	0.1527667701166	0
ACBD6	0	107.815418357191	0	93.3356208800049	0	49.8065218239893	30.6188115334689	0	0	2900.04746082022	117.948082640732	211.539909648398	0
ACCS	0.191163673922196	0	0	22.8682013582534	0	9.78679632693477	19.6507813197837	0	0	0	23.1524589570575	17.4894081396727	182.668849689006
ACD	0	0	0	27.736942209258	0	23.591040464214	2.35578662877499	28.8255445070675	73.6682311602972	0	37.7451034562815	0.264279036503039	0
ACE	0	0	0	19.0849059885046	0	15.5901134652698	24.2361490442126	0	0	0	0	0.858606904735794	0
ACE2	0	0	0	0	266.454623122278	55.6648625627394	0.0240082246160204	0	0	0	1.03462377779313	0	0
ACER2	0	0	26.0586105544797	0	0	0.26181579870047	0	0	0	0	0	0	0
ACER3	37.1697257828033	56.5113662344985	84.9060129416694	26.3156893465426	0	29.375814918647	134.426348648195	238.329372972062	0	0	66.3215271674872	0	0
ACIN1	0.363840735115095	102.598819580263	54.4798878050656	42.0605662902727	199.097692247068	88.6060657520454	244.845604484729	6.00887136779104	0	0	80.5789023552708	40.260250645149	0
ACLY	206.483129860985	20.8473837365244	89.1330458802902	135.310430235999	0	92.8165612360907	175.883855152193	181.073120055306	0	0	126.796950299432	84.3599108669416	289.212576887835
ACO1	133.526008402561	0	0	30.7017176278516	0	45.1685095880361	57.9412137739919	109.074942890083	0	0	79.8896853580695	9.82521274714616	0
ACO2	445.489580038437	11.0293183402522	0	3.58340608541051	164.911909977756	53.2551813547126	5.3807521404721	406.701657732211	216.757194863789	0	178.057287721333	83.1332004118966	16.2569773472917
ACOT1	0	0.518742624853199	17.0496384207146	1.809616936821	0	17.0744988721082	61.6165523712311	52.7515195604436	0	0	56.8824167860231	58.7045879197535	0
ACOT11	0	0	0	0	0	0.0154613320715107	3.04982157217364	0	0	0	30.402779740267	0	0
ACOT13	305.361282337076	0	119.277644723446	10.8920933075079	0	51.2957276259551	36.7694671927723	8.77568122821077	251.396387644036	0	31.9248728394784	47.648914875005	0
ACOT2	0	24.99134197084	131.323759295306	6.79560350436246	0	38.1911392426679	94.6841467611377	147.141895190032	0	0	134.121736767506	59.3338811330271	0
ACOT4	0	0	0	0.0776638357519465	0	22.6018236378941	0	0	0	0	5.70620132434161	0	0
ACOT7	0	0	0	0	0	0	0	78.3539524763124	0	0	37.6140234548444	61.4804141808708	0
ACOT8	0	0	0.0492211125904999	6.77413779063443	217.736050657338	15.2213893778724	0	207.833266879443	0	0	75.1546847564976	168.656967217816	0
ACOT9	0	96.869376771763	112.44058309966	33.7579634752342	0	95.898218910395	151.826667887716	135.523541991393	111.197980394031	2077.02009461659	148.999868901148	94.3326933469674	304.534180268652
ACOX1	244.038185126315	104.529372430389	0.626861202550347	28.2300349545643	0	99.2789709186064	76.9970349026627	0.118356463150659	0	0	42.7426309690641	77.8309843591935	0
ACOX2	0	0	0	0	0	93.091557593534	0.795669029930738	0	0	0	82.0688681992051	0	0
ACOX3	0	22.5434987762414	0	0	0	35.0975828367412	42.9055988998927	0	0	0	5.99347546187493	0	0
ACP1	167.382521398699	170.302084388997	269.01625269464	215.210937792905	212.810308972061	132.140832669608	46.8235817755313	174.861316472385	153.299525647232	0	166.264523504861	256.094217049478	0
ACP2	0	0.322388271739063	0	58.5418204184703	0	36.2546434191917	37.5885606904975	0	0	0	0	29.1833385154974	0
ACP5	0.456333650247949	3.00199983364044	3.06184725329711	11.6402775490463	0	0.288743939061294	184.128721942527	0.129576484397253	2.12933559509848	0	0.0984364525173669	0.663613459675953	3.56226478496575
ACP6	0	80.0066185919594	0	0	0	0.056496826002599	0	0	0	0	0	3.19165730036272	0
ACRBP	0	0	0	0	0	6.37763328038374	2.96327345354574	0	0	0	0	0	0
ACSBG1	0	0	0.894540299080002	0	0	0.375510481208952	0.172843701885528	0.613182866798496	0	0	0.495234776671916	0.615042805749917	1.59045939319732
ACSF2	0	0	82.6133473144564	69.8566693746436	0	6.66534640328033	1.89889317007535	182.918168307485	0	0	0	0	0
ACSF3	0	47.3590164250174	90.8485977886376	44.3929941841293	91.3537345495189	47.4203861468695	96.5119521624872	226.355990639475	0	0	53.4706438923032	68.320856159815	326.254693263981
ACSL1	0	0.285051542296722	232.786718999383	30.1906260609999	0	166.558938275714	522.424642772561	114.263174743404	0	2540.80346807503	34.1535513836479	37.3243688405652	0
ACSL3	203.762594646193	279.79125739359	103.44247009585	116.066171240015	85.8171584474288	89.3489015838068	196.50787433815	0	0	0	154.292350754262	113.07936148453	0
ACSL4	0	0	16.1642356096143	107.468016952584	253.783181129124	37.2687133253009	3.79573581891105	290.951511050971	0	0	16.1243248947764	49.7012985615336	0
ACSL5	0	124.516478183788	194.382823317219	216.452895048429	28.8091155021511	79.4217251988568	20.8718797028578	0.975720566770794	131.895400677702	0	0	0	377.137111826852
ACSL6	0	47.3187388911063	0	0.184044928075667	0	3.54361116426498	0	0	0	0	0.0438747193428108	0	0
ACSM1	0	0.0458790546728199	0	0.955703067263485	0	21.4583487279549	0	0	0	0	0	0	0
ACSM3	0	0	71.9646123835832	39.4996030261525	0	75.7405723863859	0	0	0	0	0	8.90811264736919	0
ACSM5	0	0	0	0	0	18.7364397290922	15.8524007575142	0	0	0	0.0373953673046605	38.9568376380104	0
ACSS1	0	0	0	23.6640907034723	0	26.7735749488485	7.54266066555311	181.278746176238	29.1468227015141	0	79.1707423378528	0	0
ACSS2	0	0	0	84.7721878704782	2.84650169909107	50.2301527200731	119.721765208942	280.219124932334	0	0	72.7983541387698	65.0696026824252	0
ACSS3	0	0	0	0	0	22.8217531742143	110.213221857619	0	0	0	0.291273290860607	0	0
ACTA2	0	0	0	38.93681680289	0	188.711554761256	0	0	0	0	1928.08810986198	1917.56118215074	0
ACTB	1682.96079228415	2566.931131028	2860.87872845547	1692.624887427	1295.40956559288	1565.60301830137	2380.2964582346	2229.81423151183	2696.27529708043	7320.92512672041	2226.18665117484	2570.83137363716	1366.85997657508
ACTC1	0	0	0	0	0	0	0	0	0	0	200.702104131841	355.534582364458	0
ACTG1	987.994335807617	909.154110460553	1369.4459988797	1485.49697298082	897.680913056822	991.352119129544	1275.76101546893	490.420770560824	1902.69674565086	2106.44582303178	1610.89619950054	1966.15012135069	1220.53595709799
ACTG2	0	0	0	0	0	0	0	0	0	0	535.944740597035	403.205151697568	0
ACTL6A	360.760194128322	77.9488498317091	0	41.8024144098968	0	110.122942238844	31.9589143212937	0	119.686703782744	0	147.278658696858	61.4010129939477	0
ACTN1	69.2001900016866	0.146331785027423	2.72929680584706	492.755069399384	465.079861820615	36.2957213181524	599.582090412186	0.354461481356203	326.75355373811	0	504.021274871555	1065.81676518847	516.924260690548
ACTN2	0	0.103921728088761	0.106209908371832	0	0	1.62842079224723	0	0	0	86.9718963888756	18.6585758184374	0	0
ACTN4	466.008632832768	59.7550230290952	43.6347564987726	227.37481173618	237.553706603045	49.8415251912844	64.4569299123343	266.681587628999	0	682.420481757597	482.569119709699	484.713065348411	0.398711429884845
ACTR10	0	81.871973219873	171.356826902312	192.860671135007	0	256.625014675248	90.9986431453417	499.958723771249	0	0	189.84656671921	331.084668051514	23.4267427993716
ACTR1A	346.003527292343	0	132.274999570949	68.885854788853	179.508221217781	158.562554995303	70.3375429875086	8.47135455833261	0	0	154.968372980954	172.935736903114	0
ACTR1B	4.04124940678446	36.6583322010409	59.5206781771074	51.3831430943276	170.181823083567	13.8191461602892	145.902961729271	3.14529135663441	136.950206577545	0	18.8223300288739	39.2693944741571	0
ACTR2	0.930975791652693	493.193202560214	266.046168291732	225.988822156344	0	190.844980569599	394.814984186702	145.876095918099	0	1589.19767255168	139.590215761803	105.966490840301	0
ACTR3	59.511241480899	230.613497545446	262.725272032429	100.023337326098	0	111.115173739173	215.501454337961	93.2053252404744	485.109240439984	0	224.056256607027	129.733305185114	17.2078862890977
ACTR3B	0	0	0	42.4041945097047	0	3.54225412619661	0	0	0	0	26.8650171836262	0	0
ACTR3C	0	0	0	0.428450330127948	0	3.30613611184139	0.06463998927857	0	0	0	0	0	0
ACTR5	209.252239089396	43.6967173058619	71.4016827379466	35.9917903248856	0	16.7526103408664	0	0	0	0	1.47410866870491	22.4734436611376	0
ACTR6	0	9.52126164795677	75.9574402247688	5.89497218539011	0	50.0928989817702	19.7449991817864	0	0	0	53.4585588338042	0	478.889747907281
ACTR8	0	0	88.5551821184275	13.1344153271513	0	32.8558043817562	12.4812065015694	173.704492365103	0	0	36.6336666939376	75.6742191294736	0
ACTRT3	0	0	0	25.5265233200668	0	0.527181991979484	0	0	0	0	53.928430388288	6.61793225242143	0
ACVR1	159.332292029529	96.240591031083	0	26.8685966508548	0	88.5619831834053	1.39457972839623	0.118356463150659	0	0	28.5078902940407	48.2759611366315	0
ACVR1B	0	0	0	26.8262080957856	0	24.3872165349214	0	68.2842775131361	244.197355193784	0	57.6885622149712	0	0
ACVR1C	0	28.5230153823766	0	0	0	0.0165862087686689	0	0.102561756544514	0	0	0	0	0
ACVR2A	0	31.5172431377291	0	106.052369472945	0	90.4955767336876	70.8501951781916	125.436830793779	0	0	87.0282473372656	42.5554841188612	0
ACVR2B	0	0	0.314796452910872	0.182368073146627	0	21.5905287288589	22.9149090531186	0	0	0	1.03768471532637	16.9527241855909	0
ACVRL1	26.7282905195411	0	0	145.331434779653	42.9905968443679	165.65181260794	12.7383116212821	0	0	0	40.8112544566377	4.08655639469274	0
ACY1	0	0	0	0	0	4.42287312042792	0	0	0	0	5.52572288262371	2.77145648551179	0
ACYP1	0	93.9347902753031	40.0106054981827	44.4989663324945	0	43.3331607416829	13.2076895178826	134.110090798365	144.015813152178	0	7.095314904215	15.8083922551635	1.98625599653568
ACYP2	79.59644834415	25.5147745655346	17.5485707489944	25.6109024077772	128.966410781388	24.4111317815085	0	0	276.48621214523	0	120.263686795022	47.9143644903317	190.971638914183
ADA	222.643828799683	37.3224808442378	167.567585897695	40.198843204623	232.248875537937	262.957549987916	24.12646372855	0	0	0	111.160632845611	0.352820029994323	2.410672551477
ADAL	0	0	0	3.34422851754578	103.044563003567	20.2476277833846	8.39438790519963	0	0	0	2.61725009363919	0	0
ADAM10	457.253181524444	218.332460088281	246.462728643908	198.71770873169	69.1710667618391	20.2310033445666	134.674119855856	150.485734343627	580.879116421521	0	83.7465994965011	37.9166339171298	269.097591359661
ADAM12	0	70.5156311744894	0	0	0	7.78980199651477	0	110.003764513492	0	0	0	0	0
ADAM15	0.274241744253097	0	0	245.367595870867	304.043977916494	40.541313226557	62.9010182217949	0	70.892735206282	0	1.58792162502568	17.8859600699552	55.6541160537004
ADAM17	181.498112510823	17.9120321124956	21.8360112726839	17.8622517839736	0	55.8300856413593	393.996531255162	0.236510060262547	0	0	21.6803627698302	78.5923757476964	3.16933749787092
ADAM19	0	108.004678864695	111.416301500225	0	0	65.4544650415129	0	0	0	1326.46824769465	69.0853086167271	0	0
ADAM22	0	2.7054596261232	0	0	0	3.15293878692737	0	0	0	0	0.0123142600642343	0	0
ADAM23	195.929376399789	1.4004335745404	0	17.469689475188	0	0	57.9679215840803	0	0	0	0	0	0
